0HQLQJRFRFFDO,Cases,4,1,1,1,1,,0,,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
GLVHDVH_,Rate,6.4,1.5,2.7,3.9,2.5,,1,,4.8,10.8,2.8,5.8,1.6,7.2,4.2,2.8,2.5,0,3.1,2.6,0,2.1,3.6
Mumps,Cases,0,0,0,0,0,,0,,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0
,Rate,1.9,0.8,1.1,1,0.8,,1,,1,0,4.6,0.6,0,0.6,2.1,2.8,5,1.5,3.1,2.8,1.8,1.1,0
1RQVHDVRQDO,Cases,0,5,6,1,0,,0,,1,0,2,0,0,0,1,13,0,0,0,0,5,0,0
LQIOXHQ]D$+1_,Rate,80.3,40.5,55.8,37.4,41.7,,32.4,,35.6,106.1,29.6,91,104.5,41,55.4,90.9,115.1,49.7,174.9,83.7,135,40.9,40.2
Paratyphoid fever,Cases,0,0,0,0,1,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Rate,0,0.8,0.7,0.4,0.8,,2,,0,0,0,0,0,0,0.7,2.1,0,0,0,0.2,0,0,0
Pertussis,Cases,0,4,5,2,6,,0,,2,0,0,1,0,2,3,20,0,2,3,17,0,2,2
,Rate,6.4,18.9,12.6,13.9,61.7,,14.7,,25.5,26,46.2,12.3,11.1,22.3,35.7,48.9,27.5,24.1,46,52.8,36,7.4,20.6
Rheumatic fever,Cases,1,0,1,12,5,,0,,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0
,Rate,9.6,1.1,2.5,9.8,7.2,,2,,2.9,21.6,0.9,4.5,1.6,0.6,1.4,2.4,2.5,0,0,0.2,0,0,0
Rickettsial disease,Cases,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.4,0.2,0.2,0.8,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonellosis,Cases,3,3,8,3,3,,1,,5,1,2,1,0,2,3,2,0,2,1,13,3,8,2
,Rate,23.8,15,18.9,15.4,25,,16.7,,20.2,36.8,17.6,29.9,12.7,22.3,21,18.4,30,33.6,33.8,29.9,59.4,51.5,35.8
Shigellosis,Cases,0,4,2,5,3,,0,,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0
,Rate,1.9,3.6,3.4,4.2,2.5,,0,,2.4,0,0,1.9,0,0.6,2.1,1.7,0,2.2,3.1,2.8,1.8,3.2,0.9
Tuberculosis disease,Cases,0,4,9,4,3,,0,,0,0,0,1,0,1,1,2,1,0,0,4,0,1,1
,Rate,4.5,9.3,14,13.9,4.4,,3.9,,6.3,19.5,0.9,6.5,1.6,5.4,6.3,7.3,2.5,3.7,9.2,5.2,7.2,2.1,1.8
Typhoid fever,Cases,0,0,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.9,1.8,1.2,0.6,,0,,1.4,0,0,0,0,0,0,0.3,0,0,0,0.4,0,0,0
VTEC/STEC infection,Cases,0,1,1,1,2,,1,,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0
,Rate,1.9,1.7,1.8,1.7,6.4,,3.9,,5.8,6.5,10.2,3.2,1.6,1.2,0,1,2.5,2.9,0,5.6,1.8,2.1,2.7
Yersiniosis,Cases,0,4,4,1,0,,0,,1,1,1,1,1,0,1,3,0,2,0,7,1,0,0
,Rate,5.1,9.8,13.1,6.4,6.4,,8.8,,3.4,8.7,6.5,11,9.5,4.2,15.4,16,2.5,2.9,30.7,9.8,14.4,8,1.8
