Surveillance data by District Health Board - June 2006,,,,,,,,,,,,,,,,,,,,Cases this month,,,,,,,,Current 12-month,,rate1,
,,,,,,,,,,"Cases for June 2006, 2 and current rate 1,2 by District Health Board 3,4",,,,,,,,,,,,,,,,,,,,,
,,2.1,0,0.5,,,0,0,3.1,0.6,,,0,2.9,,0.7,,0,0,,0.8,,0.4,,0,0,3.3,2.8,0,0.6,0
Hydatids disease,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.2,0,,,0,0,0,0,,,0,0,,0.7,,0,0,,0,,0,,0,0,0,0,0,0,0
Lead absorption,,0,0,2,,,0,0,0,0,,,0,1,,0,,0,1,,2,,1,,0,0,0,0,0,0,0
,,1.4,0.7,1.9,,,0.3,3.1,4.2,1.1,,,2.3,2.9,,2.1,,4.7,3.2,,4.6,,3.7,,2.6,0.8,0,2.8,3.8,1.8,0
Legionellosis,,0,1,1,,,1,0,0,0,,,0,0,,0,,0,0,,1,,0,,0,1,0,0,0,0,0
,,4.3,1.4,1.6,,,1.3,1.3,0,3.9,,,0,1,,0.7,,0,0.6,,3,,1.6,,2.6,0.8,3.3,5.4,1.9,2.9,2.9
Leprosy,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0,0.3,,,0.3,0.3,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
Leptospirosis,,2,0,0,,,0,1,0,1,,,0,0,,1,,0,0,,0,,0,,0,0,0,0,0,1,0
,,7.1,0,0,,,0.3,3.5,1,6.2,,,6.8,1,,9.8,,3.1,7.7,,0,,0.4,,7.9,0,9.9,1.2,9.5,2.3,1.9
Listeriosis,,0,0,0,,,1,0,0,1,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.9,0.5,,,1.6,0.3,1,1.1,,,0,0,,0.7,,0,0.6,,0,,0.4,,0,1.6,0,0,0,0,0
Malaria,,0,0,1,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.2,0.8,,,1.6,0.6,0,0,,,0,0,,0.7,,0,0,,0,,1.2,,0,0,3.3,0.2,0,0.6,0
Measles,,0,0,0,,,1,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.9,0.5,,,0.5,0.3,0,1.1,,,0,0,,0,,1.6,0.6,,0,,0,,0,1.6,6.6,1.2,1.9,0,0
Meningococcal,,1,0,1,,,1,2,0,0,,,0,0,,1,,0,2,,0,,0,,1,0,0,1,0,0,1
disease5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.1,3.3,3.8,,,5.1,8.5,3.1,3.4,,,2.3,1.9,,4.2,,0,5.2,,2.3,,1.6,,7.9,7.3,3.3,5.9,5.7,8.2,3.9
Mumps,,0,1,0,,,1,0,0,0,,,0,0,,0,,0,0,,0,,1,,0,0,0,2,0,0,0
,,2.9,2.1,1.4,,,2.9,0.3,0,1.7,,,0,0,,4.2,,3.1,0,,0,,0.8,,0,1.6,0,2.3,1.9,2.3,0
Paratyphoid fever,,1,0,0,,,0,0,1,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0.7,1.2,0.3,,,1.3,0,1,1.1,,,0,0,,0.7,,0,0,,0,,0.4,,0,0.8,0,0.2,0,0,1
Pertussis,,1,3,0,,,0,22,3,2,,,6,0,,0,,0,0,,5,,1,,0,4,2,23,2,2,3
,,7.8,8.8,3.3,,,5.3,100.1,42.7,77.5,,,43.2,4.9,,35.5,,3.1,11,,33.4,,31.3,,2.6,58.8,59.5,163,170.5,51.5,92.9
Rheumatic fever,,1,0,0,,,0,1,1,0,,,0,0,,0,,1,0,,0,,0,,0,0,0,0,0,0,0
,,6.4,0.9,1.9,,,11.2,3.1,4.2,0.6,,,2.3,0,,5.6,,3.1,1.3,,3.8,,3.3,,0,0,0,0.2,0,0,0
Rickettsial disease,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0,0.3,,,0,0.3,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
Rubella,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.2,1.1,,,0.3,0,0,1.7,,,0,0,,0,,0,0.6,,0,,0,,0,0,0,0.2,0,0,0
Salmonellosis,,1,8,7,,,5,3,1,2,,,0,0,,2,,0,2,,2,,7,,0,3,0,7,3,6,0
,,41.4,32.3,31,,,30.6,40.9,27.1,37,,,22.8,44.6,,50.1,,29.9,20.6,,35.6,,50.8,,28.8,40.8,26.4,39.8,75.8,60.9,67.7
SARS,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
Shigellosis,,0,0,0,,,1,0,0,0,,,0,0,,0,,0,0,,0,,1,,0,1,1,1,0,0,0
,,33.5,5.1,8.7,,,6.1,1.6,1,2.8,,,0,1,,2.1,,6.3,0,,2.3,,3.7,,0,1.6,3.3,2.1,5.7,3.5,0
Tetanus,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0,0,,,0,0.3,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
Tuberculosis,,2,7,0,,,7,1,0,0,,,0,0,,0,,0,1,,0,,4,,0,0,0,2,1,1,0
,,11.4,9.5,16.6,,,14.6,6.6,5.2,2.2,,,0,1.9,,4.9,,7.9,9,,5.3,,12.2,,0,1.6,0,4.9,3.8,3.5,1.9
Typhoid fever,,0,0,0,,,1,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,0,0.7,0.5,,,2.1,0,0,0,,,0,0,,0,,0,0,,2.3,,0,,0,1.6,0,0.2,3.8,0,0
VTEC / STEC,,0,2,0,,,0,1,0,0,,,0,0,,0,,0,0,,0,,0,,0,1,0,1,0,0,3
,,2.9,2.1,1.1,,,1.3,5.7,5.2,3.4,,,0,2.9,,2.8,,0,0.6,,0,,0,,0,4.9,3.3,3,7.6,4.7,6.8
Yersiniosis,,1,2,3,,,4,2,0,2,,,0,0,,2,,0,0,,1,,3,,0,1,0,7,0,3,0
,,4.3,10.2,11.1,,,9.1,8.5,12.5,9.5,,,9.1,4.9,,9.1,,14.1,5.8,,4.6,,23.6,,0,12.2,33,18.5,22.7,17,6.8
,1 Current rate is based on the cumulative total for the 12 months up to and including June 2006,,,,,,,,,,,,,,,,,,,,expressed as cases per 100 000,,,,,,,,,,
,2 These data are provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
