,Rate,1.9,6.9,,10.7,6.3,,3.6,0,2.4,2.2,6.4,7.7,9.5,5.4,12.5,3.1,5,2.9,,6.1,2.8,10.7,6.9
Legionellosis,Cases,1,5,,3,3,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1
,Rate,4.4,4.8,,3.3,3.9,,1.9,1,3.3,0,0.9,1.3,1.6,0.6,2.1,1.4,2.5,4.3,,6.1,14.4,0,7.6
Leptospirosis,Cases,0,2,,0,0,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,1,1
,Rate,3.8,0.6,,0.2,0.8,,1.4,0,1.9,8.6,1.8,7.7,15.8,3.6,0,0,5,1.4,,12.2,1,3.6,1.3
Listeriosis,Cases,0,0,,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,Rate,0.6,0.4,,0.7,0.4,,0.5,1,1,0,0.9,0,1.6,0,2.1,0.3,0,0,,3.1,0.2,0,0
Malaria,Cases,0,2,,2,2,,1,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0
,Rate,0,1.3,,3.1,1.6,,0.3,0,2.4,0,1.8,0,0,0,0,0.3,0,3.6,,0,0.4,1.8,0.7
Measles,Cases,0,37,,5,1,,0,0,0,0,0,9,0,0,0,0,0,0,,0,0,0,0
,Rate,0,9.3,,3.8,2.6,,0,0,0,2.2,0,16.1,0,0,0.7,0.3,2.5,0,,3.1,1.4,0,0
Meningococcal disease,Cases,0,1,,0,2,,3,0,0,0,0,0,0,1,0,0,0,1,,0,2,0,0
,Rate,0.6,1.5,,0.9,2.9,,2.7,5.8,2.4,0,0,2.6,3.2,1.8,4.9,1.7,2.5,1.4,,3.1,1.6,1.8,2.6
Mumps,Cases,0,0,,2,1,,0,0,1,0,0,1,1,0,0,1,0,5,,0,1,0,1
,Rate,1.3,1.1,,1.8,1,,0.5,0,1.4,0,0.9,1.3,1.6,0.6,1.4,0.7,2.5,5.1,,0,1,0,1
Paratyphoid fever,Cases,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0
,Rate,0,0,,2,0,,0,3.9,0,0,0,0,0,0.6,0,1,0,0,,3.1,0,0,0
Pertussis,Cases,1,2,,2,2,,1,1,2,4,1,5,1,1,2,22,0,7,,15,10,0,4
,Rate,3.2,10.2,,21.5,12.4,,15.4,7.8,16.7,32.3,23.8,20,12.7,15.5,20.9,29.2,9.9,29.7,,91.7,19.9,3.6,18.8
Rheumatic fever,Cases,3,0,,3,4,,1,0,1,0,0,0,0,1,1,0,0,2,,0,0,0,0
,Rate,10.2,1.7,,1.6,11.2,,3.3,4.9,2.9,15.1,0.9,4.5,3.2,3,7.6,3.1,0,1.4,,0,0.8,0,0
Rickettsial disease,Cases,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,Rate,0,0.7,,0.2,0.2,,1.6,0,0,0,0.9,0,0,0,0,0,0,0,,0,0,0,0
Rubella,Cases,0,1,,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,,0,3,0,1
,Rate,0.6,0.2,,0.4,0.2,,0,0,0,0,0,0,1.6,0,0.7,0.7,0,0,,0,0.6,1.8,0.7
Salmonellosis,Cases,2,5,,5,6,,11,0,1,0,3,1,1,3,2,2,1,3,,0,12,5,4
,Rate,23.5,22,,26,15.3,,28.3,21.4,17.1,30.1,22,25.8,20.6,19.1,22.3,21.6,42.2,36.2,,27.5,34.2,60.9,70.9
Shigellosis,Cases,0,2,,4,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0
,Rate,3.2,4.7,,3.8,3.1,,1.9,0,1.9,0,0,1.9,0,0,0,1.7,0,0,,0,1,1.8,1
Tuberculosis disease,Cases,0,1,,7,6,,1,0,2,0,0,1,0,4,1,2,0,0,,0,1,1,0
,Rate,4.4,5,,16.7,12.2,,7.1,1,6.2,4.3,0.9,12.2,3.2,7.8,11.1,12.4,0,2.9,,3.1,3.7,3.6,2
Typhoid fever,Cases,0,4,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,Rate,0.6,1.7,,1.3,2.2,,0,1,1.4,0,0,0.6,0,0.6,0,0.7,0,0,,0,0.2,0,0
VTEC/STEC infection,Cases,2,2,,4,0,,3,0,0,0,0,0,0,0,0,0,0,1,,1,1,0,1
,Rate,7,3.5,,2.9,3.5,,9.6,9.7,4.3,17.2,5.5,5.2,1.6,1.8,2.8,1.7,7.4,1.4,,9.2,3.3,5.4,2
Yersiniosis,Cases,0,4,,5,0,,3,1,1,1,1,1,0,0,2,4,0,1,,1,2,0,4
,Rate,3.2,12.5,,9.8,7.3,,11.3,8.8,7.6,12.9,20.1,7.7,4.7,6.6,13.9,18.9,7.4,6.5,,15.3,8.1,14.3,5.9
