GLVHDVH_,Rate,6.5,7.9,8,12.3,16.6,,16.7,,12.7,4.4,13,11.7,6.3,3.6,9.2,5.6,17.6,11.8,3.1,7.7,10.8,9.6,11.7
Lead absorption,Cases,1,5,1,23,4,,2,,0,0,0,0,2,0,1,1,1,0,0,3,0,2,1
,Rate,1.3,10.9,29,12.3,8.7,,4.9,,4.4,10.9,4.6,3.9,15.8,9.7,6.3,4.2,15.1,1.5,0,4.4,3.6,5.9,6.3
Legionellosis,Cases,1,1,0,2,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Rate,0.6,2.7,1.8,2.3,1.4,,1,,3.9,0,1.9,3.3,1.6,0,1.4,1.1,5,1.5,6.2,2.4,7.2,2.1,0.9
Leptospirosis,Cases,0,0,0,0,1,,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
,Rate,6.5,0.4,0.2,0.4,6.7,,3.9,,4.4,19.6,5.6,5.2,9.5,1.8,0,0,2.5,2.9,12.4,1.8,1.8,3.2,1.8
Listeriosis,Cases,0,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.8,0.9,1.5,0.3,,0,,1,0,0,0,1.6,0.6,0,0.4,0,0,0,0.4,0,2.1,0
Malaria,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.2,1.8,3.2,0.3,,0,,1.5,0,0.9,0.7,0,0,0.7,0.7,0,0,6.2,0.8,0,0.5,0
Measles,Cases,0,0,0,0,1,,0,,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0
,Rate,0,0.4,0.5,0,0.3,,0,,0,0,0,0,3.2,0,0,0.4,0,1.5,0,1.4,0,17.1,0
0HQLQJRFRFFDO,Cases,0,0,3,2,2,,1,,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0
GLVHDVH_,Rate,4.5,1,2.1,4.4,2.5,,4.9,,2.4,4.4,3.7,5.9,6.3,1.8,2.8,2.8,5,2.9,3.1,1.6,1.8,3.7,4.5
Mumps,Cases,0,2,1,0,1,,0,,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
,Rate,1.9,1,1.4,1.1,2.2,,2,,1.9,0,0,1.3,1.6,0,2.8,1.4,2.5,0.7,0,1.8,3.6,0.5,0
1RQVHDVRQDO,Cases,55,108,126,134,32,,30,,38,1,3,29,5,11,137,264,8,12,8,179,7,3,1
LQIOXHQ]D$+1_,Rate,35.6,25.2,29.7,29.4,9,,29.6,,18.5,2.2,2.8,22.8,7.9,6.7,96.5,92.8,20.1,8.8,24.7,36.1,12.7,1.6,0.9
Paratyphoid fever,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.6,1.1,1.1,0,,1,,0,0,0,0,0,0,0.7,0.7,2.5,0,0,1,0,0,0.9
Pertussis,Cases,3,11,12,4,13,,2,,3,1,7,7,2,5,9,6,0,6,0,14,5,2,3
,Rate,10.3,10.4,7.8,10.1,33.1,,20.7,,19,10.9,13.9,15,9.5,14,26.8,24.6,17.6,71.5,74.1,46.2,43.4,8.5,26.2
Rheumatic fever,Cases,2,3,2,9,2,,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,Rate,7.8,3.3,3.9,9.1,7.3,,4.9,,1.9,6.5,0.9,3.3,1.6,3.6,5.6,3.9,2.5,0.7,0,0.4,0,0,0
Rickettsial disease,Cases,0,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0.7,0,2,,0,,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
Rubella,Cases,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Rate,0,0.2,0.2,0,0,,0,,0.5,0,0,1.3,0,0,0,0.4,0,0,0,0.8,0,0,0
Salmonellosis,Cases,2,3,12,6,8,,2,,1,3,1,4,1,1,0,3,1,0,0,10,1,5,1
,Rate,27.1,19.6,25.3,22,32.6,,28.6,,27.3,61,24.1,29.4,20.5,20.6,31,24.3,47.8,34.6,27.8,32.7,68.7,51.3,44.2
Shigellosis,Cases,0,3,0,5,2,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,2.6,5,4.8,5.3,2,,1,,2.4,2.2,0,0.7,0,0,2.1,2.5,2.5,5.2,3.1,1.8,3.6,1.6,3.6
Tuberculosis disease,Cases,0,2,5,4,1,,0,,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0
,Rate,6.5,7.9,13,13.7,6.5,,4.9,,3.4,2.2,1.9,5.2,0,3.6,8.5,9.1,0,4.4,0,5.2,3.6,0.5,1.8
Typhoid fever,Cases,0,0,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,1,2.3,4,0.3,,0,,0,0,0,0,0,0,0,2.5,0,0,0,0.2,0,0,0
VTEC/STEC infection,Cases,0,0,1,1,1,,1,,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0
,Rate,5.8,1.7,5.7,1.7,7.3,,4.9,,2.9,13.1,6.5,2,0,0.6,2.1,1.4,5,0.7,3.1,3.4,5.4,2.1,0.9
Yersiniosis,Cases,1,1,2,0,1,,1,,0,0,0,0,0,0,1,2,0,1,1,4,0,1,0
,Rate,10.3,9,13.9,6.3,7.6,,6.9,,7.8,4.4,17.6,12.4,1.6,1.2,21.1,21.4,5,5.2,46.3,15.3,21.7,2.7,5.4
