Notifiable Disease Surveillance Data by District Health Board April 2016,,,,,,,,,,,,,,,,,,,,,
Disease,,Cases_ and current rate_ for April 2016 by District Health Board_,,,,,,,,,,,,,,,,,,,
,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Listeriosis,Cases,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,Rate,0,0.9,1,0.8,0.8,0,3.2,0,0,0.6,1.6,0,1.4,0.7,2.3,2.1,0,0.4,0,0.3
Malaria,Cases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,1.4,2,1.3,0.3,0,0,0,0,1.2,0,0.6,1.4,0.3,2.3,1.4,0,0.4,0,0.3
Measles,Cases,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0.2,1,4.1,0,0,0,0,0,0,2.3,0,0,0,0,0,0.2,0,0
Meningococcal disease,Cases,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,3,1.7,0.4,2.1,1.3,1.9,1.4,2.1,1.7,1.9,1.6,1.2,0,2,2.3,0.7,3.1,0.8,1.7,1.9
Mumps,Cases,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Rate,1.8,0.7,0,0.6,0,0,0,2.1,2.6,0.6,0,0,0,0.3,0,0,0,0,0,0.3
Paratyphoid fever,Cases,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
,Rate,0,0.7,0.8,1,0.3,1,0.5,0,0,1.9,1.6,0,0,1,4.6,0.7,0,1,0,0.6
Pertussis,Cases,1,9,4,0,8,0,3,0,1,1,5,2,0,15,0,1,0,25,0,4
,Rate,10.7,21.5,16.5,22.4,33.8,12.4,12.2,10.5,12.1,12.5,41.5,9.9,15.3,25.9,9.3,48.3,0,61.8,8.5,51.6
Q fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever_,Cases,1,1,5,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Rate,1.2,1.7,4.9,7.3,2.3,5.7,4.5,8.4,0.9,2.5,0,2.3,2.1,1,2.3,0,0,0.6,0,0.6
Rickettsial disease,Cases,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonellosis,Cases,4,10,10,1,14,0,5,20,2,4,1,2,2,2,1,2,0,15,4,8
,Rate,17.8,21,23.5,12.3,17.9,19.1,18.1,116,18.1,18.1,8,22.1,19.4,20.3,25.5,20,21.4,26.8,47.8,46.2
Shigellosis,Cases,0,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
,Rate,0.6,3.3,4.9,5,1.8,1,1.4,0,0.9,0.6,0,0.6,1.4,2.3,0,0,0,2.3,0,2.2
Tuberculosis disease,Cases,0,1,4,4,5,3,1,0,0,1,1,0,0,1,0,2,0,3,0,1
,Rate,1.2,6.1,11,12.5,7.7,7.6,5,2.1,3.5,6.9,3.2,2.9,3.5,7,0,3.5,3.1,6.7,0,1.9
Typhoid fever,Cases,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.3,2.7,4.6,1,0,1.4,0,0,0,0,0.6,0,0.3,0,1.4,0,0,0,0.6
Viral Haemorrhagic Fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTEC/STEC infection,Cases,9,13,5,8,5,0,5,0,6,0,0,0,2,0,0,0,0,2,0,4
,Rate,27.3,18.4,11.6,14.6,12,4.8,9,0,9.5,0.6,3.2,2.3,2.8,1.7,2.3,5.5,9.2,5.5,1.7,6.7
Yersiniosis,Cases,0,16,15,6,2,1,0,1,1,1,2,1,2,12,0,0,0,14,1,3
,Rate,5.3,11.5,13.1,10.7,11.3,12.4,12.6,19,12.9,8.1,16,5.8,21.5,24.2,4.6,4.8,21.4,35,25.6,12.7
_ These data are provisional.,,,,,,,,,,,,,,,,,,,,,
"_ Current rate is based on the cumulative total for the 12 months up to and including April 2016 expressed as cases per 100,000. This includes cases still under investigation.",,,,,,,,,,,,,,,,,,,,,
_ Further data are available from the local Medical Officer of Health.,,,,,,,,,,,,,,,,,,,,,
_ Rates are based on report date. This may not be a good indicator of newly incident cases as a high proportion of notifications have substantial reporting delays.,,,,,,,,,,,,,,,,,,,,,
