Notifiable Disease Surveillance Data by District Health Board June 2015,,,,,,,,,,,,,,,,,,,,,
Cases_ and current rate_ for June 2015 by District Health Board_,,,,,,,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Meningococcal disease,Cases,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,Rate,2.4,0.5,0.8,0.8,1.3,1.0,0.0,2.1,1.7,0.6,0.0,0.6,0.0,0.3,0.0,1.4,0.0,1.4,3.4,1.6
Mumps,Cases,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
,Rate,0.0,0.4,0.2,0.2,0.0,0.0,0.5,0.0,0.9,0.6,1.6,0.0,0.0,0.3,2.3,0.7,0.0,1.2,1.7,0.0
Paratyphoid fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,0.2,0.4,0.6,1.6,1.0,0.0,0.0,0.9,0.0,1.6,0.6,0.7,0.0,0.0,0.7,0.0,0.4,0.0,0.6
Pertussis,Cases,1,18,8,13,9,0,2,4,1,1,0,1,0,7,1,4,0,22,0,8
,Rate,21.1,31.5,18.6,29.1,16.2,14.5,12.4,27.6,11.3,18.8,0.0,13.5,10.5,36.4,11.7,28.0,3.0,18.3,6.9,18.4
Q fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rheumatic fever_,Cases,0,1,1,5,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0
,Rate,9.6,2.7,3.8,13.0,3.7,7.7,3.7,14.9,0.9,1.9,1.6,1.2,2.8,1.3,4.7,0.0,0.0,0.4,0.0,0.0
Rickettsial disease,Cases,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.2,0.2,0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubella,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salmonellosis,Cases,1,12,9,2,3,1,4,0,1,0,2,1,2,2,1,2,0,10,0,6
,Rate,25.9,27.9,29.5,17.7,15.6,15.4,17.9,14.9,22.6,21.3,19.3,17.6,18.1,15.5,23.4,26.6,15.2,29.7,29.3,34.5
Shigellosis,Cases,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,Rate,1.2,2.8,6.1,4.9,1.3,1.0,1.8,0.0,2.6,1.3,0.0,1.2,2.8,5.4,0.0,0.0,0.0,2.3,0.0,2.3
Tuberculosis disease,Cases,0,3,6,5,3,0,1,1,0,0,0,3,0,3,0,1,0,2,0,0
,Rate,3.0,6.9,16.1,10.2,4.4,9.7,6.0,6.4,2.6,2.5,3.2,7.0,9.8,7.8,2.3,2.1,3.0,6.6,0.0,0.6
Typhoid fever,Cases,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Rate,0.0,0.2,1.5,3.1,0.3,0.0,0.5,2.1,0.0,1.3,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.2,0.0,1.0
Viral Haemorrhagic Fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTEC/STEC infection,Cases,1,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
,Rate,8.4,4.6,4.9,3.1,12.3,6.8,4.6,0.0,10.4,0.6,6.4,2.9,1.4,2.0,4.7,7.7,3.0,3.9,13.8,4.8
Yersiniosis,Cases,0,5,2,2,2,0,3,0,0,1,0,0,0,1,0,0,0,13,0,3
,Rate,5.4,11.0,13.6,9.4,13.0,18.3,26.7,10.6,6.1,10.7,9.6,5.9,12.6,19.9,2.3,6.3,6.1,43.0,24.1,11.6
