,Rate,,1.3,2.6,1.4,3.4,0.6,,1,,2,2.2,1.9,2.7,0,0.6,0.7,0.4,2.5,0.7,0,0.4,,0,1.1,0
Hepatitis B,Cases,,0,0,1,1,0,,0,,0,0,2,0,0,0,0,2,0,0,0,2,,0,0,0
,Rate,,0,3.6,1.4,2,1.5,,0,,1,2.2,3.8,2.7,0,0,2.2,1.1,0,2.2,0,2.7,,1.9,0.5,0
Hepatitis C,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,2,,0,0,0
,Rate,,0.7,0.4,0.5,0.2,0.3,,2,,0.5,2.2,2.9,0,0,0,2.2,1.8,0,0,0,2.9,,0,1.1,0
Highly pathogenic avian,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
influenza,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Hydatids disease,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0,0,0,0,,0,,0,0,0,1.3,0,0,0,0,0,0,0,0,,0,0,0
Lead absorption,Cases,,0,1,0,0,0,,1,,1,0,0,0,0,0,0,1,0,1,0,0,,0,0,0
,Rate,,0,1,0.5,0.5,1.8,,4.9,,2,4.5,1,2,3.2,3.7,2.2,1.8,0,0,0,2.1,,0,4.4,0
Legionellosis,Cases,,0,1,2,0,0,,0,,0,0,0,0,0,1,0,2,0,0,0,2,,0,0,0
,Rate,,1.3,1.2,1.4,0,0,,0,,0,0,0,0,0,0.6,0,1.4,0,0,3.3,2.3,,0,2.2,0.9
Leprosy,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0.2,0.2,0.5,0.3,,0,,0,0,0,0,0,0,0,0.4,0,0,0,0,,0,0,0
Leptospirosis,Cases,,1,0,0,1,0,,0,,1,0,0,0,1,1,0,0,0,0,0,1,,0,1,0
,Rate,,6.7,0.4,0,0.5,2.6,,1,,1.5,4.5,6.7,4,9.7,5.5,1.4,0,10.2,3.7,13.1,2.7,,3.7,1.6,2.7
Listeriosis,Cases,,1,0,0,0,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,2.7,0.4,0.7,0.9,0.3,,0,,0.5,0,0,0.7,0,0,0.7,0.4,0,0,0,0,,1.9,1.1,0.9
Malaria,Cases,,0,0,2,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0.2,1.2,1.4,1.5,,1,,0,0,0,0,1.6,0,2.2,0,2.5,0.7,0,0.6,,1.9,0,0
Measles,Cases,,0,0,0,0,1,,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0,0,0.2,0.3,,0,,0.5,0,1,0,0,1.2,0.7,1.4,0,0.7,13.1,1,,0,0,0.9
Meningococcal disease4,Cases,,0,0,1,5,2,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,6,1,3.3,6.6,5.5,,2,,1,9,2.9,4,0,3.1,5.1,1.8,2.5,0.7,0,2.5,,1.9,3.8,5.5
Mumps,Cases,,0,0,0,1,0,,0,,0,0,1,0,0,0,0,0,0,1,0,1,,0,1,0
,Rate,,0,1,1.6,1.6,0.9,,3,,1.5,0,1,2,3.2,3.1,2.2,1.4,2.5,0.7,0,1,,0,3.3,0
Paratyphoid fever,Cases,,0,0,1,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0.4,0.5,2.3,0.9,,0,,0.5,0,1,0.7,0,0.6,0.7,0.4,0,0.7,0,0,,0,0.5,0
Pertussis,Cases,,0,3,0,1,7,,0,,4,0,0,0,0,0,1,2,0,1,0,7,,3,1,0
,Rate,,0.7,2.6,3.5,4.5,50.2,,10.8,,22.1,22.5,0,6.6,8.1,11.6,19.5,15.4,7.6,36.6,3.3,35.2,,37.3,9.3,14.6
Rheumatic fever,Cases,,0,0,4,0,1,,0,,0,0,0,0,0,0,1,0,0,0,0,1,,0,0,0
,Rate,,5.3,0,0.9,3.2,2,,1,,2.5,6.7,1,6.6,4.8,0.6,5.1,3.6,0,0,0,0.4,,0,0,0.9
Rickettsial disease,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0,0,0,1.5,,0,,0,0,0,0,0,0,0,0,0,0.7,0,0,,0,0,0
Rubella,Cases,,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0
,Rate,,0,0.2,0.2,0,0,,0,,0,0,0,0.7,1.6,0.6,0,0,0,0,3.3,0.2,,0,0.5,0.9
Salmonellosis,Cases,,4,8,5,8,8,,1,,6,0,1,1,3,3,3,12,1,2,0,12,,0,2,1
,Rate,,41.4,23.3,25.6,19.7,42.6,,19.7,,28.2,27,27.6,35.9,25.8,26.3,33.2,36.9,40.8,24.9,29.5,31,,39.2,37.8,55.8
Shigellosis,Cases,,0,1,1,3,0,,0,,0,0,0,1,0,0,0,1,0,0,0,1,,1,0,2
,Rate,,1.3,1.8,4.4,4.1,3.5,,5.9,,3,0,0,1.3,1.6,0,2.2,2.5,0,5.1,0,2.5,,1.9,2.2,2.7
Tetanus,Cases,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,0,0,0,0.3,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tuberculosis disease,Cases,,0,1,4,4,3,,0,,0,0,1,1,0,0,2,2,0,0,0,0,,0,0,0
,Rate,,22.7,6.4,12.8,14,9.3,,3,,4.5,0,6.7,5.3,1.6,16.5,7.2,8.2,7.6,1.5,9.8,6.5,,5.6,1.6,1.8
Typhoid fever,Cases,,0,0,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0,3,1.4,5.4,2.3,,0,,1,0,0,0,0,1.2,0,1.1,0,0.7,0,0.2,,0,0.5,0
VTEC/STEC infection,Cases,,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,0,0,0,1,,1,0,1
,Rate,,0.7,2.2,0.9,0.7,4.4,,2,,2.5,2.2,1,0.7,0,0.6,0,0.7,0,1.5,3.3,4.8,,4.8,2.2,1.8
Yersiniosis,Cases,,1,3,4,4,2,,1,,1,1,3,1,1,1,2,4,0,0,1,11,,2,2,0
,Rate,,6,7.4,9.8,6.6,9.9,,21.7,,14.1,11.2,13.3,12.6,12.9,6.1,11.6,22.9,12.7,11,52.4,22.6,,26.1,12.6,4.6
