,Rate,6.3,4.6,4.6,2.4,1.9,1,0.9,0,1.8,1.3,0,1.2,0.7,1.7,0,5.7,3,12.7,3.5,3.6
Leptospirosis,Cases,1,0,0,0,4,1,2,0,0,3,0,2,0,0,1,1,0,1,0,0
,Rate,1.9,0.4,0.4,0.4,4.9,1,2.8,6.4,2.7,11.6,12.7,5.9,0.7,0.3,4.9,3.6,12.1,2,3.5,0.7
Listeriosis,Cases,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.4,0.2,1.2,0.3,0,0,0,0.9,2.6,0,0,0,0.3,0,0,3,0.4,0,0.7
Malaria,Cases,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Rate,1.3,0.9,2.8,1.2,0.5,1,0.5,0,0.9,1.3,0,0.6,0,0.3,0,0.7,0,0.4,0,0.3
Measles,Cases,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Rate,8.2,25.7,45.6,19.8,8.4,4.9,3.3,6.4,1.8,1.3,0,0.6,0.7,4.8,0,0.7,3,2.8,3.5,5.9
Meningococcal disease,Cases,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0
,Rate,9.5,1.8,1.5,3,3,2.9,2.8,2.1,7.3,2.6,1.6,1.2,2.8,2.4,2.5,0.7,3,1.4,0,2
Mumps,Cases,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,0.6,0.5,0.7,0.6,0.5,0,0.5,0,1.8,0,1.6,0,0.7,0.7,0,5,0,1.8,0,0
Non seasonal influenza,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (H1N1),,,,,,,,,,,,,,,,,,,,,
,Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratyphoid fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,0,0.4,1.1,0.4,0,0,0,0,0,0.6,0,0,0,0.3,0,0,0,0.4,0,0.3
Pertussis,Cases,12,43,32,54,20,13,7,10,9,17,29,11,30,54,3,62,6,96,3,20
,Rate,36.7,31.7,32.2,44.2,40.5,55.3,36.3,240.3,41,118.1,69.8,43.4,203.5,163.9,86.2,602.6,892,163.7,76.3,38.5
Rheumatic fever,Cases,0,8,7,18,4,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
,Rate,11.4,3.1,4.8,12.6,5.4,7.8,3.8,21.5,0.9,4.5,3.2,5.9,4.2,4.1,0,0.7,0,0.2,0,0
Rickettsial disease,Cases,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.4,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,1.3,0.5,1.3,0.2,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.6,0,0
Salmonellosis,Cases,1,8,1,4,5,3,4,0,2,1,1,3,2,2,0,3,1,5,2,4
,Rate,16.4,21.3,21.7,12.6,28.6,33,15.6,17.2,17.3,17.3,11.1,17.8,21.5,17.6,12.3,29.3,15.2,25.1,53.2,43.7
Shigellosis,Cases,0,2,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,Rate,1.3,4.6,5.7,5.2,1.9,1.9,4.2,2.1,1.8,0.6,1.6,0,0,4.1,0,0,0,2.4,1.8,2
Tuberculosis disease,Cases,0,3,6,1,2,0,1,0,1,0,0,2,0,1,0,1,0,4,0,0
,Rate,1.3,7,14.7,8.6,4.1,2.9,7.1,2.1,2.7,9.6,1.6,8.9,2.8,10.2,0,5.7,3,4.4,0,2.6
Typhoid fever,Cases,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,1.6,2.8,2,0,0,0.9,2.1,0,0.6,0,0.6,0.7,0,0,0,0,0.4,0,0
VTEC/STEC infection,Cases,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
,Rate,7,1.5,0.9,1.6,4.1,2.9,7.1,2.1,5.5,2.6,0,0.6,0.7,0,0,2.9,6.1,3.6,10.6,3.6
Yersiniosis,Cases,1,8,4,9,1,1,3,0,1,2,0,1,2,3,0,0,0,7,0,3
,Rate,8.9,15.4,14.7,13.4,24.5,17.5,9.4,10.7,10.9,9,7.9,2.4,16.6,13.9,4.9,2.9,9.1,11.5,12.4,3.3
